index,publisher,avg
0,None,3.944371822803195
1,Penguin Books,3.8860824742268045
2,Vintage,3.874235294117647
3,Mariner Books,3.9737777777777783
4,Simon  Schuster,3.9365714285714293
5,Scribner,3.911290322580645
6,HarperCollins,4.1029629629629625
7,Modern Library,3.9499999999999997
8,Signet,3.9213043478260863
9,Pocket Books,4.004545454545455
